invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Total_amount,hour,Day,Month,Time_of_Day,Profit_USD,Profit
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,2025-07-22 18:07:00,Ewallet,4.5,0.48,57.92,18,Sunday,June,Evening,0.278016,0.278016
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,2025-07-22 17:03:00,Cash,6.8,0.48,102.04,17,Tuesday,September,Evening,0.489792,0.489792
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,2025-07-22 10:25:00,Ewallet,7.1,0.48,234.75,10,Monday,December,Morning,1.1267999999999998,1.1267999999999998
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,2025-07-22 16:48:00,Ewallet,8.2,0.48,431.9,16,Tuesday,July,Afternoon,2.07312,2.07312
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,2025-07-22 19:21:00,Cash,5.7,0.48,713.8,19,Friday,March,Evening,3.4262399999999995,3.4262399999999995
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,2025-07-22 16:19:00,Cash,4.5,0.48,562.3199999999999,16,Tuesday,January,Afternoon,2.6991359999999993,2.6991359999999993
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,2025-07-22 11:03:00,Credit card,4.6,0.48,482.51000000000005,11,Sunday,November,Morning,2.316048,2.316048
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,2025-07-22 10:39:00,Credit card,6.9,0.33,435.65999999999997,10,Tuesday,January,Morning,1.4376779999999998,1.4376779999999998
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,2025-07-22 18:00:00,Credit card,8.6,0.57,164.01,18,Monday,January,Evening,0.9348569999999998,0.9348569999999998
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,2025-07-22 15:30:00,Ewallet,4.4,0.48,80.6,15,Sunday,November,Afternoon,0.38687999999999995,0.38687999999999995
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,2025-07-22 11:24:00,Ewallet,4.8,0.48,430.20000000000005,11,Monday,February,Morning,2.06496,2.06496
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,2025-07-22 10:40:00,Ewallet,5.1,0.33,263.94,10,Friday,May,Morning,0.8710019999999999,0.8710019999999999
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,2025-07-22 12:20:00,Credit card,4.4,0.33,66.4,12,Friday,March,Afternoon,0.21912,0.21912
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,2025-07-22 11:15:00,Ewallet,9.9,0.33,172.8,11,Sunday,February,Morning,0.5702400000000001,0.5702400000000001
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,2025-07-22 17:36:00,Ewallet,6.0,0.48,265.89,17,Sunday,February,Evening,1.2762719999999999,1.2762719999999999
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,2025-07-22 19:20:00,Credit card,8.5,0.36,420.72,19,Friday,March,Evening,1.5145920000000002,1.5145920000000002
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,2025-07-22 15:31:00,Cash,6.7,0.33,33.52,15,Friday,August,Afternoon,0.110616,0.110616
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,2025-07-22 12:17:00,Credit card,7.7,0.48,175.34,12,Thursday,October,Afternoon,0.8416319999999999,0.8416319999999999
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,2025-07-22 19:48:00,Cash,9.6,0.48,441.8,19,Friday,January,Evening,2.12064,2.12064
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,2025-07-22 15:36:00,Cash,7.4,0.33,224.01,15,Friday,March,Afternoon,0.7392329999999999,0.7392329999999999
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,2025-07-22 19:39:00,Credit card,4.8,0.33,470.65,19,Monday,February,Evening,1.553145,1.553145
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,2025-07-22 12:43:00,Cash,4.5,0.18,702.6299999999999,12,Monday,January,Afternoon,1.2647339999999998,1.2647339999999998
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,2025-07-22 14:49:00,Cash,5.1,0.48,670.24,14,Tuesday,October,Afternoon,3.2171519999999996,3.2171519999999996
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,2025-07-22 10:12:00,Credit card,5.1,0.18,193.16,10,Friday,March,Morning,0.347688,0.347688
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,2025-07-22 10:42:00,Ewallet,7.5,0.48,397.68,10,Sunday,June,Morning,1.908864,1.908864
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,2025-07-22 12:28:00,Ewallet,6.8,0.33,68.12,12,Monday,July,Afternoon,0.22479600000000002,0.22479600000000002
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,2025-07-22 19:15:00,Ewallet,7.0,0.48,313.09999999999997,19,Thursday,October,Evening,1.5028799999999998,1.5028799999999998
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,2025-07-22 17:17:00,Ewallet,4.7,0.33,547.9200000000001,17,Tuesday,January,Evening,1.8081360000000002,1.8081360000000002
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,2025-07-22 13:24:00,Ewallet,7.6,0.33,439.36,13,Saturday,March,Afternoon,1.449888,1.449888
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,2025-07-22 13:01:00,Cash,7.7,0.48,240.96,13,Sunday,March,Afternoon,1.1566079999999999,1.1566079999999999
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,2025-07-22 18:45:00,Ewallet,7.9,0.48,86.72,18,Thursday,January,Evening,0.41625599999999996,0.41625599999999996
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,2025-07-22 10:11:00,Cash,6.3,0.33,112.22,10,Saturday,February,Morning,0.370326,0.370326
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,2025-07-22 13:03:00,Cash,5.6,0.33,414.72,13,Friday,August,Afternoon,1.368576,1.368576
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,2025-07-22 20:39:00,Cash,7.6,0.48,789.6,20,Wednesday,April,Evening,3.7900799999999997,3.7900799999999997
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,2025-07-22 19:47:00,Cash,7.2,0.48,30.74,19,Saturday,March,Evening,0.147552,0.147552
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,2025-07-22 18:00:00,Cash,9.5,0.33,375.84,18,Tuesday,September,Evening,1.2402719999999998,1.2402719999999998
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,2025-07-22 17:24:00,Credit card,8.4,0.33,510.21,17,Wednesday,February,Evening,1.6836929999999999,1.6836929999999999
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,2025-07-22 15:47:00,Ewallet,4.1,0.48,180.09,15,Sunday,June,Afternoon,0.864432,0.864432
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,2025-07-22 12:45:00,Credit card,8.1,0.33,113.58,12,Wednesday,October,Afternoon,0.374814,0.374814
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,2025-07-22 17:08:00,Ewallet,7.9,0.48,826.3,17,Tuesday,March,Evening,3.9662399999999995,3.9662399999999995
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,2025-07-22 10:19:00,Cash,9.5,0.33,639.8000000000001,10,Saturday,March,Morning,2.11134,2.11134
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,2025-07-22 15:10:00,Cash,8.5,0.33,222.95000000000002,15,Wednesday,October,Afternoon,0.735735,0.735735
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,2025-07-22 14:42:00,Ewallet,6.5,0.48,71.48,14,Friday,March,Afternoon,0.34310399999999996,0.34310399999999996
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,2025-07-22 15:46:00,Credit card,6.1,0.48,15.43,15,Friday,January,Afternoon,0.07406399999999999,0.07406399999999999
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,2025-07-22 11:49:00,Ewallet,6.5,0.48,32.32,11,Wednesday,July,Morning,0.155136,0.155136
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,2025-07-22 19:01:00,Cash,8.2,0.48,687.84,19,Thursday,February,Evening,3.3016319999999997,3.3016319999999997
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,2025-07-22 11:26:00,Cash,5.8,0.36,88.68,11,Wednesday,March,Morning,0.31924800000000003,0.31924800000000003
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,2025-07-22 11:28:00,Ewallet,6.6,0.33,716.8,11,Tuesday,July,Morning,2.36544,2.36544
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,2025-07-22 15:55:00,Cash,5.4,0.33,723.5,15,Sunday,January,Afternoon,2.38755,2.38755
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,2025-07-22 20:36:00,Cash,9.3,0.48,183.66,20,Tuesday,December,Evening,0.8815679999999999,0.8815679999999999
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,2025-07-22 17:47:00,Credit card,10.0,0.48,74.22,17,Friday,February,Evening,0.35625599999999996,0.35625599999999996
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,2025-07-22 10:55:00,Ewallet,7.0,0.33,334.38,10,Sunday,February,Morning,1.103454,1.103454
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,2025-07-22 13:40:00,Ewallet,10.0,0.48,495.63,13,Saturday,March,Afternoon,2.379024,2.379024
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,2025-07-22 12:27:00,Credit card,8.6,0.33,158.1,12,Monday,June,Afternoon,0.52173,0.52173
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,2025-07-22 14:35:00,Cash,7.6,0.33,302.96,14,Thursday,February,Afternoon,0.9997679999999999,0.9997679999999999
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,2025-07-22 16:40:00,Cash,5.8,0.48,158.7,16,Wednesday,March,Afternoon,0.7617599999999999,0.7617599999999999
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,2025-07-22 15:43:00,Ewallet,6.7,0.48,66.94,15,Wednesday,October,Afternoon,0.321312,0.321312
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,2025-07-22 15:01:00,Ewallet,9.9,0.48,585.66,15,Monday,July,Afternoon,2.8111679999999994,2.8111679999999994
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,2025-07-22 10:04:00,Cash,6.4,0.33,787.6999999999999,10,Thursday,January,Morning,2.5994099999999998,2.5994099999999998
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,2025-07-22 18:50:00,Cash,4.3,0.48,18.33,18,Saturday,February,Evening,0.08798399999999998,0.08798399999999998
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,2025-07-22 12:46:00,Credit card,9.6,0.48,894.8000000000001,12,Saturday,June,Afternoon,4.29504,4.29504
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,2025-07-22 16:19:00,Cash,5.9,0.48,621.1999999999999,16,Saturday,November,Afternoon,2.9817599999999995,2.9817599999999995
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,2025-07-22 18:17:00,Ewallet,4.0,0.18,145.56,18,Friday,May,Evening,0.262008,0.262008
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,2025-07-22 18:21:00,Cash,8.7,0.33,455.46,18,Tuesday,September,Evening,1.503018,1.503018
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,2025-07-22 10:55:00,Ewallet,9.4,0.33,672.03,10,Tuesday,January,Morning,2.217699,2.217699
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,2025-07-22 17:04:00,Credit card,5.4,0.48,416.5,17,Sunday,January,Evening,1.9991999999999999,1.9991999999999999
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,2025-07-22 14:20:00,Credit card,8.6,0.33,441.36,14,Sunday,September,Afternoon,1.456488,1.456488
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,2025-07-22 15:48:00,Credit card,5.7,0.33,180.09,15,Sunday,December,Afternoon,0.594297,0.594297
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,2025-07-22 16:24:00,Ewallet,6.6,0.33,783.1,16,Friday,May,Afternoon,2.5842300000000002,2.5842300000000002
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,2025-07-22 18:56:00,Cash,6.0,0.33,101.89999999999999,18,Tuesday,January,Evening,0.33626999999999996,0.33626999999999996
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,2025-07-22 14:42:00,Credit card,5.5,0.33,595.14,14,Monday,January,Afternoon,1.963962,1.963962
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,2025-07-22 19:56:00,Ewallet,6.4,0.33,290.04,19,Saturday,January,Evening,0.9571320000000001,0.9571320000000001
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,2025-07-22 18:37:00,Ewallet,6.6,0.33,154.0,18,Wednesday,January,Evening,0.5082,0.5082
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,2025-07-22 18:45:00,Ewallet,8.3,0.48,321.44,18,Saturday,February,Evening,1.5429119999999998,1.5429119999999998
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,2025-07-22 10:17:00,Cash,6.6,0.18,244.54999999999998,10,Tuesday,September,Morning,0.44018999999999997,0.44018999999999997
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,2025-07-22 14:31:00,Ewallet,4.0,0.48,581.4200000000001,14,Friday,May,Afternoon,2.790816,2.790816
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,2025-07-22 10:23:00,Cash,9.9,0.48,382.59999999999997,10,Monday,March,Morning,1.8364799999999997,1.8364799999999997
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,2025-07-22 20:35:00,Credit card,7.3,0.48,345.66,20,Wednesday,March,Evening,1.659168,1.659168
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,2025-07-22 16:57:00,Cash,5.7,0.48,42.47,16,Friday,February,Afternoon,0.20385599999999998,0.20385599999999998
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,2025-07-22 17:55:00,Cash,6.1,0.33,461.93999999999994,17,Wednesday,February,Evening,1.5244019999999998,1.5244019999999998
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,2025-07-22 10:25:00,Cash,7.1,0.33,189.52,10,Wednesday,January,Morning,0.6254160000000001,0.6254160000000001
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,2025-07-22 19:54:00,Ewallet,8.2,0.48,448.6,19,Saturday,January,Evening,2.15328,2.15328
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,2025-07-22 16:42:00,Ewallet,5.1,0.48,153.86,16,Tuesday,October,Afternoon,0.738528,0.738528
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,2025-07-22 12:09:00,Credit card,8.6,0.33,579.24,12,Tuesday,December,Afternoon,1.911492,1.911492
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,2025-07-22 20:05:00,Credit card,6.6,0.33,89.75,20,Sunday,June,Evening,0.296175,0.296175
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,2025-07-22 20:38:00,Ewallet,7.2,0.48,97.16,20,Saturday,August,Evening,0.46636799999999995,0.46636799999999995
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,2025-07-22 10:25:00,Ewallet,5.1,0.48,878.7,10,Friday,March,Morning,4.21776,4.21776
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,2025-07-22 13:11:00,Cash,4.1,0.18,74.69999999999999,13,Monday,September,Afternoon,0.13445999999999997,0.13445999999999997
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,2025-07-22 10:16:00,Ewallet,9.3,0.48,158.25,10,Saturday,March,Morning,0.7595999999999999,0.7595999999999999
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,2025-07-22 18:14:00,Cash,7.4,0.48,496.20000000000005,18,Friday,May,Evening,2.38176,2.38176
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,2025-07-22 19:20:00,Cash,4.1,0.33,48.71,19,Tuesday,March,Evening,0.160743,0.160743
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,2025-07-22 13:22:00,Cash,7.2,0.33,706.9499999999999,13,Thursday,January,Afternoon,2.332935,2.332935
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,2025-07-22 11:27:00,Cash,4.9,0.48,207.63,11,Wednesday,January,Morning,0.9966239999999998,0.9966239999999998
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,2025-07-22 16:44:00,Cash,9.9,0.48,349.56,16,Thursday,March,Afternoon,1.6778879999999998,1.6778879999999998
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,2025-07-22 18:19:00,Cash,8.0,0.33,212.45000000000002,18,Tuesday,March,Evening,0.7010850000000001,0.7010850000000001
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,2025-07-22 14:50:00,Ewallet,7.3,0.33,886.7,14,Sunday,December,Afternoon,2.92611,2.92611
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,2025-07-22 20:54:00,Credit card,7.9,0.48,164.28,20,Wednesday,May,Evening,0.7885439999999999,0.7885439999999999
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,2025-07-22 20:19:00,Cash,7.4,0.48,372.78000000000003,20,Friday,March,Evening,1.789344,1.789344
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,2025-07-22 10:43:00,Cash,4.2,0.48,305.82,10,Sunday,March,Morning,1.467936,1.467936
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,2025-07-22 14:30:00,Cash,9.2,0.33,819.7,14,Sunday,March,Afternoon,2.70501,2.70501
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,2025-07-22 11:32:00,Ewallet,4.6,0.48,32.98,11,Thursday,May,Morning,0.15830399999999997,0.15830399999999997
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,2025-07-22 10:41:00,Credit card,7.8,0.48,294.63,10,Thursday,May,Morning,1.414224,1.414224
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,2025-07-22 12:44:00,Cash,8.4,0.48,509.88,12,Friday,February,Afternoon,2.447424,2.447424
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,2025-07-22 20:07:00,Ewallet,4.3,0.48,522.63,20,Saturday,January,Evening,2.5086239999999997,2.5086239999999997
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,2025-07-22 20:31:00,Credit card,9.5,0.36,727.11,20,Wednesday,January,Evening,2.617596,2.617596
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,2025-07-22 13:01:00,Credit card,7.1,0.33,81.06,13,Sunday,February,Afternoon,0.267498,0.267498
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,2025-07-22 12:29:00,Ewallet,5.3,0.48,109.7,12,Friday,May,Afternoon,0.5265599999999999,0.5265599999999999
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,2025-07-22 15:26:00,Ewallet,5.2,0.33,51.36,15,Wednesday,January,Afternoon,0.169488,0.169488
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,2025-07-22 20:48:00,Ewallet,6.0,0.48,109.60000000000001,20,Saturday,February,Evening,0.52608,0.52608
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,2025-07-22 20:38:00,Ewallet,4.1,0.33,106.88,20,Sunday,January,Evening,0.35270399999999996,0.35270399999999996
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,2025-07-22 17:03:00,Credit card,5.2,0.48,796.48,17,Thursday,February,Evening,3.823104,3.823104
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,2025-07-22 12:02:00,Credit card,6.5,0.33,399.84,12,Sunday,December,Afternoon,1.319472,1.319472
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,2025-07-22 17:26:00,Credit card,4.2,0.33,899.64,17,Tuesday,September,Evening,2.968812,2.968812
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,2025-07-22 19:52:00,Credit card,4.6,0.33,511.28,19,Wednesday,March,Evening,1.6872239999999998,1.6872239999999998
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,2025-07-22 14:57:00,Ewallet,7.3,0.33,451.76,14,Tuesday,September,Afternoon,1.490808,1.490808
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,2025-07-22 18:44:00,Credit card,4.5,0.48,655.8299999999999,18,Thursday,October,Evening,3.1479839999999992,3.1479839999999992
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,2025-07-22 13:26:00,Cash,9.0,0.48,161.25,13,Sunday,January,Afternoon,0.7739999999999999,0.7739999999999999
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,2025-07-22 16:17:00,Credit card,5.9,0.48,285.57,16,Thursday,August,Afternoon,1.370736,1.370736
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,2025-07-22 15:57:00,Ewallet,8.5,0.48,548.32,15,Thursday,August,Afternoon,2.631936,2.631936
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,2025-07-22 11:15:00,Ewallet,7.2,0.48,812.52,11,Friday,August,Morning,3.9000959999999996,3.9000959999999996
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,2025-07-22 13:18:00,Cash,7.5,0.48,277.34,13,Friday,January,Afternoon,1.3312319999999997,1.3312319999999997
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,2025-07-22 20:34:00,Cash,8.3,0.33,552.78,20,Monday,June,Evening,1.824174,1.824174
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,2025-07-22 18:36:00,Cash,7.4,0.33,139.36,18,Wednesday,October,Evening,0.459888,0.459888
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,2025-07-22 14:40:00,Credit card,8.8,0.36,524.7,14,Sunday,February,Afternoon,1.8889200000000002,1.8889200000000002
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,2025-07-22 16:43:00,Ewallet,5.3,0.33,487.79999999999995,16,Saturday,August,Afternoon,1.60974,1.60974
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,2025-07-22 19:39:00,Cash,6.2,0.18,270.65999999999997,19,Monday,February,Evening,0.48718799999999995,0.48718799999999995
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,2025-07-22 20:59:00,Credit card,8.8,0.48,131.54999999999998,20,Friday,January,Evening,0.6314399999999999,0.6314399999999999
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,2025-07-22 15:39:00,Cash,9.8,0.33,206.52,15,Monday,February,Afternoon,0.681516,0.681516
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,2025-07-22 12:21:00,Cash,8.2,0.48,519.0999999999999,12,Saturday,February,Afternoon,2.4916799999999992,2.4916799999999992
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,2025-07-22 19:25:00,Ewallet,9.2,0.48,580.0,19,Saturday,March,Evening,2.784,2.784
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,2025-07-22 13:00:00,Credit card,5.4,0.48,898.0,13,Wednesday,January,Afternoon,4.3104,4.3104
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,2025-07-22 13:48:00,Cash,8.1,0.48,905.0,13,Friday,January,Afternoon,4.343999999999999,4.343999999999999
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,2025-07-22 19:57:00,Cash,9.1,0.57,686.0,19,Thursday,May,Evening,3.9101999999999997,3.9101999999999997
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,2025-07-22 10:36:00,Credit card,8.4,0.18,30.41,10,Friday,February,Morning,0.054738,0.054738
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,2025-07-22 16:37:00,Credit card,8.0,0.48,467.70000000000005,16,Monday,January,Afternoon,2.24496,2.24496
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,2025-07-22 17:11:00,Credit card,9.5,0.48,277.56,17,Saturday,August,Evening,1.332288,1.332288
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,2025-07-22 12:28:00,Ewallet,9.2,0.48,301.4,12,Wednesday,October,Afternoon,1.4467199999999998,1.4467199999999998
